,t,o,h,l,c,v,pot,pot_ask,pot_bid
71,2024-05-31,22000,22400,21200,21300,2255680,1,1,1
72,2024-06-03,21900,21900,21300,21550,1654832,1,1,1
73,2024-06-04,21800,22100,21450,21500,2220812,1,1,1
74,2024-06-05,21850,22200,21400,21550,2460907,1,1,1
75,2024-06-06,21600,21950,21100,21400,1725689,1,1,1
76,2024-06-07,21550,21800,21300,21800,1317454,1,1,1
77,2024-06-10,22100,22650,21950,22300,2983835,1,1,1
78,2024-06-11,22400,22950,22300,22950,4098140,1,1,1
79,2024-06-12,22950,23250,21800,22850,1965927,1,1,1
80,2024-06-13,22900,23100,22500,22500,1932299,1,1,1
81,2024-06-14,22500,22950,20950,20950,2972465,1,1,1
82,2024-06-17,20950,21400,20900,21200,2357458,1,1,1
83,2024-06-18,21450,21450,20900,20900,1609104,1,1,1
84,2024-06-19,21000,21250,19950,21200,2282286,1,1,1
85,2024-06-20,21200,21300,20550,20850,1240764,1,1,1
86,2024-06-21,20850,20900,20500,20550,1486950,1,1,1
87,2024-06-24,20450,20450,19150,19200,4600714,1,1,1
88,2024-06-25,19200,19500,19200,19450,997121,1,1,1
89,2024-06-26,19500,19700,18950,19400,1235541,1,1,1
90,2024-06-27,19400,19400,19000,19150,828634,1,1,1
91,2024-06-28,19100,19250,18000,18500,2611838,1,1,1
92,2024-07-01,18250,19100,18250,19100,865621,1,1,1
93,2024-07-02,19300,19450,19100,19300,870096,1,1,1
94,2024-07-03,19400,19500,19150,19250,629450,1,1,1
95,2024-07-04,19450,19550,19000,19100,964563,1,1,1
96,2024-07-05,19150,19200,18700,19100,1311618,1,1,1
97,2024-07-08,19300,19400,19050,19300,1008092,1,1,1
98,2024-07-09,19300,19900,19300,19800,1932655,1,1,1
99,2024-07-10,19900,19900,19550,19550,1082431,1,1,1
100,2024-07-11,19600,19950,19550,19700,1260975,1,1,1
101,2024-07-12,19600,19800,19500,19600,874012,1,1,1
102,2024-07-15,19600,19850,19450,19600,552618,1,1,1
103,2024-07-16,19750,19850,19600,19650,1346566,1,1,1
104,2024-07-17,19750,19800,18600,18950,1685429,1,1,1
105,2024-07-18,19150,19150,18500,19000,1303240,1,1,1
106,2024-07-19,18900,19200,18350,18400,1144805,1,1,1
107,2024-07-22,18250,18300,17350,17500,2634999,1,1,1
108,2024-07-23,17550,17850,17200,17300,892293,1,1,1
109,2024-07-24,16900,17700,16600,17600,1442945,1,1,1
110,2024-07-25,17250,17600,17250,17500,460481,1,1,1
111,2024-07-26,17650,17650,17450,17600,430000,1,1,1
112,2024-07-29,17700,17850,17550,17700,420900,1,1,1
113,2024-07-30,17600,17650,17300,17400,549300,1,1,1
114,2024-07-31,17600,17700,17300,17300,514300,1,1,1
115,2024-08-01,17500,17500,16100,16200,3058400,1,1,1
116,2024-08-02,16250,17100,16100,17000,1176700,1,1,1
117,2024-08-05,16300,17150,16200,16300,1173900,1,1,1
118,2024-08-06,16550,17000,16300,16900,1242300,1,1,1
119,2024-08-07,17000,17050,16600,16800,517100,1,1,1
120,2024-08-08,16550,17000,16350,16600,735000,1,1,1
121,2024-08-09,16650,17550,16650,17350,2188200,1,1,1
122,2024-08-12,17350,17500,17200,17400,577000,1,1,1
